Symbol,group
CG17327,EuRBP
CG7518,EuRBP
CG9799,EuRBP
omd,EuRBP
Art6,EuRBP
CG9925,EuRBP
mRpL11,EuRBP
CG8461,EuRBP
Hexim,EuRBP
Rrp6,EuRBP
UQCR-C1,EuRBP
Nup93-2,EuRBP
CG3817,EuRBP
RpS5b,EuRBP
RpL10Aa,EuRBP
CG6654,EuRBP
Art3,EuRBP
mRpS10,EuRBP
mRpL9,EuRBP
Trax,EuRBP
obe,EuRBP
CG5213,EuRBP
EndoU,EuRBP
mRpS33,EuRBP
CG14894,EuRBP
CG14903,EuRBP
CG5220,EuRBP
Ns1,EuRBP
mRpS11,EuRBP
kuk,EuRBP
alt,EuRBP
CG17806,EuRBP
CG17802,EuRBP
Non3,EuRBP
CG12320,EuRBP
CG8064,EuRBP
CG18600,EuRBP
WRNexo,EuRBP
EndoA,EuRBP
mRpL55,EuRBP
CG5316,EuRBP
CG6195,EuRBP
CG11447,EuRBP
CG4572,EuRBP
Surf6,EuRBP
CG4424,EuRBP
CG10889,EuRBP
mdlc,EuRBP
eIF3g2,EuRBP
TFAM,EuRBP
Srp14,EuRBP
Srp72,EuRBP
Pus1,EuRBP
Syp,EuRBP
RpS30,EuRBP
CG7009,EuRBP
CG7907,EuRBP
Fancm,EuRBP
CG17819,EuRBP
dnd,EuRBP
Idh3b,EuRBP
mRpL35,EuRBP
Gld2,EuRBP
Sar1,EuRBP
CG5380,EuRBP
CG18596,EuRBP
CG13850,EuRBP
Nop56,EuRBP
CG12499,EuRBP
CG5346,EuRBP
CG6937,EuRBP
Dcr-1,EuRBP
CG17141,EuRBP
CG10214,EuRBP
tst,EuRBP
RpS19b,EuRBP
Mettl3,EuRBP
CG18428,EuRBP
GatB,EuRBP
mRpS24,EuRBP
beta-PheRS,EuRBP
CG5728,EuRBP
Dis3,EuRBP
CG18528,EuRBP
CG13625,EuRBP
CG6695,EuRBP
Rpb10,EuRBP
CG13630,EuRBP
Saf-B,EuRBP
CG7006,EuRBP
CG11089,EuRBP
Trf4-2,EuRBP
Smg6,EuRBP
Ythdf,EuRBP
CG11920,EuRBP
RpS27,EuRBP
Nup358,EuRBP
RIOK2,EuRBP
CG4553,EuRBP
XNP,EuRBP
CG5116,EuRBP
Npl4,EuRBP
RpL27,EuRBP
CG5886,EuRBP
CG5913,EuRBP
CG14543,EuRBP
RpL34a,EuRBP
CG14544,EuRBP
CG6066,EuRBP
CG5590,EuRBP
mRpS22,EuRBP
CG12259,EuRBP
